code,name
PS0101114,ALBEHIJE PRIMARY SCHOOL
PS0101128,ARUSHA VICTORY PRIMARY SCHOOL
PS0101116,ASSALAF ISLAMIC PRIMARY SCHOOL
PS0101001,BANGATA PRIMARY SCHOOL
PS0101161,BETHANY PRIMARY SCHOOL
PS0101154,BLUE BELL PRIMARY SCHOOL
PS0101003,BWAWANI PRIMARY SCHOOL
PS0101173,CLEVER KIDS PRIMARY SCHOOL
PS0101143,DEANERY PRIMARY SCHOOL
PS0101135,DINKA PRIMARY SCHOOL
PS0101123,EBENEZER PRIMARY SCHOOL
PS0101005,EKENYWA PRIMARY SCHOOL
PS0101153,EKICA PRIMARY SCHOOL
PS0101006,EMAOI PRIMARY SCHOOL
PS0101188,EMAYAN PRIMARY SCHOOL
PS0101166,ENABOISHU PRIMARY SCHOOL
PS0101007,ENDONYOESOIYE PRIMARY SCHOOL
PS0101008,ENGALAONI PRIMARY SCHOOL
PS0101170,ENGEDEKO PRIMARY SCHOOL
PS0101130,ENGIKARET PRIMARY SCHOOL
PS0101131,ENGILANG'ET PRIMARY SCHOOL
PS0101009,ENGORIKA PRIMARY SCHOOL
PS0101184,ENGORORA BAY PRIMARY SCHOOL
PS0101010,ENGUTUKOITI PRIMARY SCHOOL
PS0101117,ENJORO PRIMARY SCHOOL
PS0101011,ENYUATA PRIMARY SCHOOL
PS0101056,ERETO  PRIMARY SCHOOL
PS0101124,EUNOTO PRIMARY SCHOOL
PS0101121,GOODWILL PRIMARY SCHOOL
PS0101129,GRACIOUS PRIMARY SCHOOL
PS0101012,GREEN ACRES PRIMARY SCHOOL
PS0101158,GREEN PASTURES PRIMARY SCHOOL
PS0101152,HEDA PRIMARY SCHOOL
PS0101136,IKIRWA PRIMARY SCHOOL
PS0101141,ILBORU LUTHERAN PRIMARY SCHOOL
PS0101013,ILBORU PRIMARY SCHOOL
PS0101014,ILKERINI PRIMARY SCHOOL
PS0101015,ILKIDING'A PRIMARY SCHOOL
PS0101016,ILKISONGO PRIMARY SCHOOL
PS0101017,ILKIUREI PRIMARY SCHOOL
PS0101125,ILKONERE PRIMARY SCHOOL
PS0101018,ILKUROTI PRIMARY SCHOOL
PS0101019,IMBIBIA PRIMARY SCHOOL
PS0101137,ISLONG PRIMARY SCHOOL
PS0101020,JK NYERERE PRIMARY SCHOOL
PS0101156,JOBREAS PRIMARY SCHOOL
PS0101022,KAMBI YA MAZIWA PRIMARY SCHOOL
PS0101023,KIGONGONI PRIMARY SCHOOL
PS0101025,KIMNYAKI PRIMARY SCHOOL
PS0101140,KINGDOM PRIMARY SCHOOL
PS0101026,KIOGA PRIMARY SCHOOL
PS0101027,KIRANYI PRIMARY SCHOOL
PS0101028,KISERIAN PRIMARY SCHOOL
PS0101029,KISONGO PRIMARY SCHOOL
PS0101030,LAMOLOKI PRIMARY SCHOOL
PS0101031,LAROI PRIMARY SCHOOL
PS0101110,LASTING BLESS PRIMARY SCHOOL
PS0101159,LEMAADILI PRIMARY SCHOOL
PS0101032,LEMANYATA PRIMARY SCHOOL
PS0101033,LEMINYOR PRIMARY SCHOOL
PS0101034,LEMUGUR PRIMARY SCHOOL
PS0101035,LENGIJAVE PRIMARY SCHOOL
PS0101036,LESIRAA PRIMARY SCHOOL
PS0101118,LIKAMBA INTEGRITY PRIMARY SCHOOL
PS0101037,LIKAMBA PRIMARY SCHOOL
PS0101038,LOOVILUKUNY PRIMARY SCHOOL
PS0101039,LORUVANI PRIMARY SCHOOL
PS0101040,LOSIKITO PRIMARY SCHOOL
PS0101041,LOSINONI PRIMARY SCHOOL
PS0101126,MAASAI JOY PRIMARY SCHOOL
PS0101043,MAJIMOTO PRIMARY SCHOOL
PS0101044,MANYIRE PRIMARY SCHOOL
PS0101106,MARGRETH ENGLANDS BURKS PRIMARY SCHOOL
PS0101045,MARURANI PRIMARY SCHOOL
PS0101047,MATIM PRIMARY SCHOOL
PS0101048,MBUYUNI PRIMARY SCHOOL
PS0101150,MIALE PRIMARY SCHOOL
PS0101049,MIDAWE PRIMARY SCHOOL
PS0101050,MIRONGOINE PRIMARY SCHOOL
PS0101051,MLANGARINI PRIMARY SCHOOL
PS0101052,MOIVO PRIMARY SCHOOL
PS0101046,MOKOLOI PRIMARY SCHOOL
PS0101002,MOSESEM PRIMARY SCHOOL
PS0101054,MRINGA PRIMARY SCHOOL
PS0101119,MSHIKAMANO PRIMARY SCHOOL
PS0101055,MUNGUSHI PRIMARY SCHOOL
PS0101057,MUSA PRIMARY SCHOOL
PS0101058,MUUNGANO PRIMARY SCHOOL
PS0101059,MWANDETI PRIMARY SCHOOL
PS0101060,MZIMUNI PRIMARY SCHOOL
PS0101061,NAMBERE PRIMARY SCHOOL
PS0101132,NAMELOK PRIMARY SCHOOL
PS0101062,NATEMA PRIMARY SCHOOL
PS0101063,NAUREI PRIMARY SCHOOL
PS0101064,NDURUMA PRIMARY SCHOOL
PS0101065,NENGUNGU PRIMARY SCHOOL
PS0101107,NEW LIFE PRIMARY SCHOOL
PS0101115,NEW VISION PRIMARY SCHOOL
PS0101066,NGARAMTONI PRIMARY SCHOOL
PS0101067,NG'IRESI PRIMARY SCHOOL
PS0101172,NGORBOB PRIMARY SCHOOL
PS0101068,NURU PRIMARY SCHOOL
PS0101071,OLBAK PRIMARY SCHOOL
PS0101072,OLCHOKI PRIMARY SCHOOL
PS0101073,OLCHOROVUS PRIMARY SCHOOL
PS0101074,OLDADAI PRIMARY SCHOOL
PS0101075,OLDENDERETI PRIMARY SCHOOL
PS0101076,OLDONYOSAMBU PRIMARY SCHOOL
PS0101077,OLDONYOSAPUK PRIMARY SCHOOL
PS0101078,OLDONYOWAS PRIMARY SCHOOL
PS0101133,OLEMEDEYE PRIMARY SCHOOL
PS0101079,OLGILAI PRIMARY SCHOOL
PS0101080,OLJORO PRIMARY SCHOOL
PS0101082,OLKOKOLA PRIMARY SCHOOL
PS0101083,OLMOTONYI PRIMARY SCHOOL
PS0101084,OLMRINGIRINGA PRIMARY SCHOOL
PS0101086,OLOKII PRIMARY SCHOOL
PS0101108,OLOMITU PRIMARY SCHOOL
PS0101085,OLORIEN VALLEY PRIMARY SCHOOL
PS0101087,OLOSIVA PRIMARY SCHOOL
PS0101088,OLTUROTO PRIMARY SCHOOL
PS0101089,OLTURUMET PRIMARY SCHOOL
PS0101155,PELICAN PRIMARY SCHOOL
PS0101157,ROCKLAND PRIMARY SCHOOL
PS0101147,SAIDE PRIMARY SCHOOL
PS0101090,SAMBASHA PRIMARY SCHOOL
PS0101160,SAMMENA PRIMARY SCHOOL
PS0101138,SAMWA PRIMARY SCHOOL
PS0101091,SASI PRIMARY SCHOOL
PS0101139,SEIA EBENEZER PRIMARY SCHOOL
PS0101092,SEKEI PRIMARY SCHOOL
PS0101093,SELIANI PRIMARY SCHOOL
PS0101148,SHINING STAR PRIMARY SCHOOL
PS0101095,SITI MWINYI PRIMARY SCHOOL
PS0101127,SONGAMBELE PRIMARY SCHOOL
PS0101112,SOTWA WILSON PRIMARY SCHOOL
PS0101134,ST AUGUSTINE PRIMARY SCHOOL
PS0101098,ST MAGRET PRIMARY SCHOOL
PS0101120,ST PAULO PRIMARY SCHOOL
PS0101142,ST. PIUS PRIMARY SCHOOL
PS0101101,THEMI YA SIMBA PRIMARY SCHOOL
PS0101102,TIMBOLO PRIMARY SCHOOL
PS0101103,TRUST ST PATRICK PRIMARY SCHOOL
PS0101096,TURKISH MAARIF PRIMARY SCHOOL
PS0101104,UMOJA PRIMARY SCHOOL
PS0101021,USHINDI PRIMARY SCHOOL
PS0101191,WILMARK PRIMARY SCHOOL
PS0101151,WINNERS PRIMARY SCHOOL
PS0101109,YAKINI PRIMARY SCHOOL
PS0102047,ANGELICO PRIMARY SCHOOL
PS0102073,ARUSHA ALLIANCE PRIMARY SCHOOL
PS0102029,ARUSHA INTERGRATED PRIMARY SCHOOL
PS0102028,ARUSHA MODERN PRIMARY SCHOOL
PS0102001,ARUSHA PRIMARY SCHOOL
PS0102137,ARUSHA ROYAL VISION PRIMARY SCHOOL
PS0102045,ASSUMPTION PRIMARY SCHOOL
PS0102066,AZIMIO PRIMARY SCHOOL
PS0102002,BARAA PRIMARY SCHOOL
PS0102113,BARBRA PRIMARY SCHOOL
PS0102102,BIBLE BAPTIST PRIMARY SCHOOL
PS0102114,BRIGHT FUTURE PRIMARY SCHOOL
PS0102176,BRIGHT SOULS PRIMARY SCHOOL
PS0102074,BURKA ESTATE PRIMARY SCHOOL
PS0102003,BURKA PRIMARY SCHOOL
PS0102097,CAMP JOSHUA PRIMARY SCHOOL
PS0102140,CANOSSA PRIMARY SCHOOL
PS0102126,CARMEL PRIMARY SCHOOL
PS0102115,CHETI PRIMARY SCHOOL
PS0102141,CLASSIC  PRIMARY SCHOOL
PS0102022,DARAJA- II PRIMARY SCHOOL
PS0102116,DOMINION PRIMARY SCHOOL
PS0102048,ELERAI PRIMARY SCHOOL
PS0102127,ELYON PRIMARY SCHOOL
PS0102058,ENALEPO PRIMARY SCHOOL
PS0102037,ENGARENAROK LUTH TETRA PRIMARY SCHOOL
PS0102038,ENGIRA PRIMARY SCHOOL
PS0102004,ENGOSENGIU PRIMARY SCHOOL
PS0102151,ENYORATA PRIMARY SCHOOL
PS0102157,ERETO PRIMARY SCHOOL
PS0102128,ERNEST MEYNER PRIMARY SCHOOL
PS0102129,ESERIAN PRIMARY SCHOOL
PS0102105,GHATI MEMORIAL PRIMARY SCHOOL
PS0102117,GLORIOUS PRIMARY SCHOOL
PS0102118,GLORYLAND PRIMARY SCHOOL
PS0102119,GOLGOTHA PRIMARY SCHOOL
PS0102106,GOOD HOPE PRIMARY SCHOOL
PS0102154,GOSHENI BLESSED PRIMARY SCHOOL
PS0102039,GREEN VALLEY PRIMARY SCHOOL
PS0102143,GREENWHICH  PRIMARY SCHOOL
PS0102046,HADY PRIMARY SCHOOL
PS0102120,HEALSUN PRIMARY SCHOOL
PS0102148,HEAVEN PRIMARY SCHOOL
PS0102178,HEDA DIVINE PRIMARY SCHOOL
PS0102049,HIGH VIEW PRIMARY SCHOOL
PS0102059,HIGHRIDGE PRIMARY SCHOOL
PS0102163,HOPE GIRLS AND BOYS PRIMARY SCHOOL
PS0102077,HOPE PRIMARY SCHOOL
PS0102033,IMANI PRIMARY SCHOOL
PS0102101,INTEGRITY PRIMARY SCHOOL
PS0102103,INTEL PRIMARY SCHOOL
PS0102130,JITIHADA PRIMARY SCHOOL
PS0102121,JOSHUA PRIMARY SCHOOL
PS0102005,KALOLENI PRIMARY SCHOOL
PS0102007,KIJENGE PRIMARY SCHOOL
PS0102034,KILIMANI PRIMARY SCHOOL
PS0102063,KIMANDOLU LUTH PRIMARY SCHOOL
PS0102006,KIMANDOLU PRIMARY SCHOOL
PS0102122,KING DAVID PRIMARY SCHOOL
PS0102123,KISIMANI PRIMARY SCHOOL
PS0102078,LADY OF MERCY PRIMARY SCHOOL
PS0102008,LEMARA PRIMARY SCHOOL
PS0102009,LEVOLOSI PRIMARY SCHOOL
PS0102040,LISE PRIMARY SCHOOL
PS0102050,LOAMO PRIMARY SCHOOL
PS0102131,LOSIYO PRIMARY SCHOOL
PS0102080,LUCKY VINCENT PRIMARY SCHOOL
PS0102107,MACHWA PRIMARY SCHOOL
PS0102081,MAGEREZA PRIMARY SCHOOL
PS0102132,MAJENGO PRIMARY SCHOOL
PS0102051,MAKUMBUSHO PRIMARY SCHOOL
PS0102060,MARANATHA MISSION PRIMARY SCHOOL
PS0102026,MAROMBOSO-BAPTIST PRIMARY SCHOOL
PS0102158,MARY IMMACULATE COMPLEX PRIMARY SCHOOL
PS0102082,MATEVES PRIMARY SCHOOL
PS0102133,MATONYOK PRIMARY SCHOOL
PS0102108,MAWENI PRIMARY SCHOOL
PS0102099,MECSON PRIMARY SCHOOL
PS0102010,MERU PRIMARY SCHOOL
PS0102083,MICHAEL PRIMARY SCHOOL
PS0102011,MKONOO PRIMARY SCHOOL
PS0102052,MOIVOI PRIMARY SCHOOL
PS0102084,MOSHONO PRIMARY SCHOOL
PS0102053,MOUNT MERU PRIMARY SCHOOL
PS0102134,MOUNT SINAI PRIMARY SCHOOL
PS0102181,MSASANI 'B' PRIMARY SCHOOL
PS0102162,MSASANI PRIMARY SCHOOL
PS0102135,MURIET DARAJANI PRIMARY SCHOOL
PS0102085,MURIET PRIMARY SCHOOL
PS0102086,MURONGOINE PRIMARY SCHOOL
PS0102041,MWANGAZA PRIMARY SCHOOL
PS0102012,NADOSOITO PRIMARY SCHOOL
PS0102087,NAKIDO PRIMARY SCHOOL
PS0102064,NALOPA PRIMARY SCHOOL
PS0102144,NARIVA HILL  PRIMARY SCHOOL
PS0102136,NEJOLA PRIMARY SCHOOL
PS0102067,NEW LIFE SOKON I PRIMARY SCHOOL
PS0102155,NEW PRECIOUS PRIMARY SCHOOL
PS0102156,NEW WISDOM PRIMARY SCHOOL
PS0102014,NGARENARO PRIMARY SCHOOL
PS0102015,NJIRO-HILL PRIMARY SCHOOL
PS0102061,NOTRE DAME PRIMARY SCHOOL
PS0102149,NYAHIRI PRIMARY SCHOOL
PS0102088,OLASITI PRIMARY SCHOOL
PS0102089,OLKERYAN PRIMARY SCHOOL
PS0102016,OLOIRIEN PRIMARY SCHOOL
PS0102032,OSUNYAI PRIMARY SCHOOL
PS0102031,PARENTS PRIMARY SCHOOL
PS0102145,PATMOS ISLANDS  PRIMARY SCHOOL
PS0102109,PEACE PRIMARY SCHOOL
PS0102152,PISON PRIMARY SCHOOL
PS0102036,PRIME PRIMARY SCHOOL
PS0102146,RENEA  PRIMARY SCHOOL
PS0102104,ROYAL PRIMARY SCHOOL
PS0102056,SALEI PRIMARY SCHOOL
PS0102017,SANAWARI PRIMARY SCHOOL
PS0102171,SHADES OF HOPE PRIMARY SCHOOL
PS0102043,SHALOM PRIMARY SCHOOL
PS0102090,SHANGARAO PRIMARY SCHOOL
PS0102091,SHEPHERDS PRIMARY SCHOOL
PS0102062,SHINDA BASIC PRIMARY SCHOOL
PS0102018,SINON PRIMARY SCHOOL
PS0102160,SOCRATES PRIMARY SCHOOL
PS0102098,SOJEMA PRIMARY SCHOOL
PS0102042,SOKONI I PRIMARY SCHOOL
PS0102019,SOMBETINI PRIMARY SCHOOL
