code,name
S.0101,AZANIA SECONDARY SCHOOL
S.0104,BWIRU BOYS' SECONDARY SCHOOL
S.0105,CHIDYA SECONDARY SCHOOL
S.0106,DUNG''UNYI SEMINARY
S.0107,LUTHERAN JUNIOR SEMINARY
S.0108,IFUNDA TECHNICAL SECONDARY SCHOOL
S.0110,ILBORU SECONDARY SCHOOL
S.0111,ITAGA SEMINARY
S.0112,IYUNGA TECHNICAL SECONDARY SCHOOL
S.0113,MAFINGA SEMINARY
S.0114,KAENGESA SEMINARY
S.0116,KANTALAMBA SECONDARY SCHOOL
S.0117,KASITA SEMINARY
S.0118,KATOKE SEMINARY
S.0119,KIBAHA SECONDARY SCHOOL
S.0121,ST. JAMES SEMINARY
S.0122,ST. PAUL THE APOSTLE SECONDARY SCHOOL
S.0124,LIKONDE SEMINARY
S.0127,MAKOKO SEMINARY
S.0128,MALANGALI SECONDARY SCHOOL
S.0130,MAUA SEMINARY
S.0134,MOSHI SECONDARY SCHOOL
S.0135,MOSHI TECHNICAL SECONDARY SCHOOL
S.0136,MUSOMA SECONDARY SCHOOL
S.0138,MPWAPWA SECONDARY SCHOOL
S.0139,MTWARA TECHNICAL SECONDARY SCHOOL
S.0140,MZUMBE SECONDARY SCHOOL
S.0141,NAMUPA SEMINARY
S.0146,NYEGEZI SEMINARY
S.0147,PUGU SECONDARY SCHOOL
S.0148,RUBYA SEMINARY
S.0152,SHINYANGA SECONDARY SCHOOL
S.0153,SONGEA BOYS' SECONDARY SCHOOL
S.0154,ST. PETER'S SEMINARY
S.0155,TABORA BOYS' SECONDARY SCHOOL
S.0156,TANGA TECHNICAL SECONDARY SCHOOL
S.0157,HANGA SEMINARY
S.0159,ST. JOSEPH'S ITERAMBOGO SEMINARY
S.0164,USA SEMINARY
S.0165,URU SEMINARY
S.0167,KIDUGALA LUTHERAN SEMINARY
S.0168,SANU SEMINARY
S.0169,BIHAWANA JUNIOR SEMINARY
S.0171,ARUSHA CATHOLIC SEMINARY
S.0172,DON BOSCO SEMINARY
S.0173,NYAMILAMA SECONDARY SCHOOL
S.0174,CONSOLATA SEMINARY
S.0176,LUSANGI MORAVIAN JUNIOR SEMINARY
S.0177,ST. MARY'S JUNIOR SEMINARY
S.0178,MANOW LUTHERAN JUNIOR SEMINARY
S.0179,ST. MARY'S SEMINARY MBALIZI
S.0180,ST. FRANCIS DE SALES SEMINARY
S.0181,KISARAWE LUTHERAN JUNIOR SEMINARY
S.0182,AL-FAROUQ SEMINARY
S.0183,STELLA MATUTINA LIGHANO SEMINARY
S.0184,AGAPE LUTHERAN J SEMINARY
S.0185,SENGEREMA SEMINARY
S.0186,RONDO JUNIOR SEMINARY
S.0187,AN-NOOR ISLAMIC BOYS' SEMINARY
S.0188,KIRINJIKO ISLAMIC SEMINARY
S.0189,FEZA BOYS' SECONDARY SCHOOL
S.0190,ST. JOSEPH-KILOCHA SEMINARY
S.0191,ST. MATHIAS MULUMBA SECONDARY SCHOOL
S.0192,ST. JOHN'S SEMINARY
S.0194,FARAJA SEMINARY
S.0195,ST. CAROLI SECONDARY SCHOOL
S.0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL
S.0197,MATANGINI ISLAMIC SEMINARY
S.0198,AILANGA LUTHERAN JUNIOR SEMINARY
S.0199,MSAMALA MUSLIM SEMINARY
S.0203,IRINGA GIRLS' SECONDARY SCHOOL
S.0204,JANGWANI SECONDARY SCHOOL
S.0205,KIBOSHO GIRLS' SECONDARY SCHOOL
S.0206,KILAKALA SECONDARY SCHOOL
S.0207,KIRAENI GIRLS' SECONDARY SCHOOL
S.0209,KOROGWE GIRLS' SECONDARY SCHOOL
S.0210,BIGWA SISTERS SEMINARY
S.0214,MSALATO SECONDARY SCHOOL
S.0217,PERAMIHO GIRLS' SECONDARY SCHOOL
S.0218,RUGAMBWA SECONDARY SCHOOL
S.0220,TABORA GIRLS' SECONDARY SCHOOL
S.0222,ZANAKI SECONDARY SCHOOL
S.0223,MASAMA GIRLS' SECONDARY SCHOOL
S.0224,KIFUNGILO GIRLS' SECONDARY SCHOOL
S.0225,CAGLIERO GIRLS' SECONDARY SCHOOL
S.0226,KAGUNGULI SECONDARY SCHOOL
S.0231,SUMVE GIRLS' SECONDARY SCHOOL
S.0232,HEKIMA GIRLS' SECONDARY SCHOOL
S.0233,ST. MARY'S MAZINDE JUU SECONDARY SCHOOL
S.0234,ST. LUISE MBINGA GIRLS' SECONDARY SCHOOL
S.0235,BUKUMBI SECONDARY SCHOOL
S.0236,KILIMANJARO ACADEMY SECONDARY SCHOOL
S.0237,ST. AGNES CHIPOLE SECONDARY SCHOOL
S.0238,MRUMA GIRLS' SECONDARY SCHOOL
S.0239,ST. FRANCIS GIRLS' SECONDARY SCHOOL
S.0240,ST. JOSEPH GIRLS' SEMINARY
S.0241,KOWAK GIRLS' SECONDARY SCHOOL
S.0242,ST. MARGARET SECONDARY SCHOOL
S.0243,USANGI GIRLS' SECONDARY SCHOOL
S.0244,MTWARA SISTERS SEMINARY
S.0245,PALLOTI GIRLS' SECONDARY SCHOOL
S.0246,MAASAE GIRLS' LUTHERAN SECONDARY SCHOOL
S.0247,BONICONSILI MABAMBA GIRLS' SECONDARY SCHOOL
S.0248,MARIAN GIRLS' SECONDARY SCHOOL
S.0249,LORETO GIRLS' SECONDARY SCHOOL
S.0250,ST. THERESE MURIGHA GIRLS' SECONDARY SCHOOL
S.0251,AT-TAAUN ISLAMIC GIRLS' SEMINARY
S.0252,AL-KHEIR ISLAMIC GIRLS' SEMINARY
S.0254,WALI UL ASR SEMINARY
S.0255,ST. CHRISTINA GIRLS' SECONDARY SCHOOL
S.0256,HURUMA GIRLS' SECONDARY SCHOOL
S.0257,MCF-MAKAMBAKO GIRLS' SECONDARY SCHOOL
