code,name,level
S.6300,ASSURANCE SECONDARY SCHOOL,Secondary
S.6302,JOY GIRLS' SECONDARY SCHOOL,Secondary
S.6303,PRECIOUS LEADERS SECONDARY SCHOOL,Secondary
S.6304,MEDALA SECONDARY SCHOOL,Secondary
S.6306,BUGWANGOSO SECONDARY SCHOOL,Secondary
S.6307,KISOJI SECONDARY SCHOOL,Secondary
S.6309,PICHA YA NDEGE SECONDARY SCHOOL,Secondary
S.6312,GOLDMINE SECONDARY SCHOOL,Secondary
S.6313,ST. BERNADETA SECONDARY SCHOOL,Secondary
S.6314,EDUCA SECONDARY SCHOOL,Secondary
S.6315,ICHESA SECONDARY SCHOOL,Secondary
S.6316,ISENENGEJA SECONDARY SCHOOL,Secondary
S.6322,BUYOMBE SECONDARY SCHOOL,Secondary
S.6326,UBAGWE SECONDARY SCHOOL,Secondary
S.6328,MASENGESE SECONDARY SCHOOL,Secondary
S.6330,DOHA SECONDARY SCHOOL,Secondary
S.6334,MLOGANZILA SECONDARY SCHOOL,Secondary
S.6335,BUHALAHALA SECONDARY SCHOOL,Secondary
S.6337,JENISTER MHAGAMA SECONDARY SCHOOL,Secondary
S.6338,MUST LEAD SECONDARY SCHOOL,Secondary
S.6339,DORCAS SECONDARY SCHOOL,Secondary
S.6342,KAZAURA SECONDARY SCHOOL,Secondary
S.6344,CHRIFFA SECONDARY SCHOOL,Secondary
S.6346,KENASKY SECONDARY SCHOOL,Secondary
S.6352,LUHIMBA SECONDARY SCHOOL,Secondary
S.6353,GOOD HOPE ELLY'S SECONDARY SCHOOL,Secondary
S.6356,KISESA GEITA SECONDARY SCHOOL,Secondary
S.6357,BOMBAMBILI GEITA SECONDARY SCHOOL,Secondary
S.6358,ISTIQAAMA TABORA SECONDARY SCHOOL,Secondary
S.6359,BELIEVE EXCELLENCE SECONDARY SCHOOL,Secondary
S.6360,GREEN LANE SECONDARY SCHOOL,Secondary
S.6366,MTUNENEE SECONDARY SCHOOL,Secondary
S.6368,LITTLE WAYS SECONDARY SCHOOL,Secondary
S.6369,RUVUMA LUTHERAN SECONDARY SCHOOL,Secondary
S.6370,ST. MARIA GIRLS' SECONDARY SCHOOL,Secondary
S.6372,GRASSLAND SECONDARY SCHOOL,Secondary
S.6373,MICHAEL JACKSON SECONDARY SCHOOL,Secondary
S.6376,ST. RITA SECONDARY SCHOOL,Secondary
S.6377,AFRICA AMINI SECONDARY SCHOOL,Secondary
S.6378,GREEN STAR SECONDARY SCHOOL,Secondary
S.6380,UPANGWA SECONDARY SCHOOL,Secondary
S.6382,ROSALIA SECONDARY SCHOOL,Secondary
S.6383,PREMIER BOYS' SECONDARY SCHOOL,Secondary
S.6392,ABUBAKARI ASENGA SECONDARY SCHOOL,Secondary
S.6400,KAKONKO GIRLS' SECONDARY SCHOOL,Secondary
S.6401,UNGA LIMITED SECONDARY SCHOOL,Secondary
S.6405,KAIMLETT MEMORIAL SECONDARY SCHOOL,Secondary
S.6410,MPANGA KIPENGERE SECONDARY SCHOOL,Secondary
S.6413,SEME MOTHERLAND SECONDARY SCHOOL,Secondary
S.6419,ROYAL FAMILY SECONDARY SCHOOL,Secondary
S.6431,BUKAMAGE SECONDARY SCHOOL,Secondary
S.6438,UKOMBOZI UMC SECONDARY SCHOOL,Secondary
S.6445,ST. JACOBUS TECHNICAL AND AGRICULTURAL SCIENCE,Secondary
S.6446,ISIKE SECONDARY SCHOOL,Secondary
S.6467,MOUNT KOMBAGULU SECONDARY SCHOOL,Secondary
S.6471,MZIHA SECONDARY SCHOOL,Secondary
S.6472,KILIMANJARO SECONDARY SCHOOL,Secondary
S.6473,PEMBA SECONDARY SCHOOL,Secondary
S.6489,EMAUS SECONDARY SCHOOL,Secondary
S.6490,ZIADA SECONDARY SCHOOL,Secondary
S.6491,ST. IGNATIUS OF LOYOLA  SECONDARY SCHOOL,Secondary
S.6493,NDULUNGU SECONDARY SCHOOL,Secondary
S.6494,JANETH MAGUFULI GIRLS' SECONDARY SCHOOL,Secondary
S.6502,FAZILIBUCHA SECONDARY SCHOOL,Secondary
S.6504,MTAKUJA GEITA SECONDARY SCHOOL,Secondary
S.6505,NYAKATO GEITA SECONDARY SCHOOL,Secondary
S.6522,SUMBAWANGA ISTIQAAMA SECONDARY SCHOOL,Secondary
S.6524,ILININDA SECONDARY SCHOOL,Secondary
S.6527,NYANGABO SECONDARY SCHOOL,Secondary
S.6529,SYMPONIA SECONDARY SCHOOL,Secondary
S.6530,NYAMWAGE SECONDARY SCHOOL,Secondary
S.6532,TANGA AMANI SECONDARY SCHOOL,Secondary
S.6534,GOODWILL NOVELLUS SECONDARY SCHOOL,Secondary
S.6535,MSISIMA SECONDARY SCHOOL,Secondary
S.6537,IKULE SECONDARY SCHOOL,Secondary
S.6539,MIEMBENI GIRLS' SECONDARY SCHOOL,Secondary
S.6541,MARGARET SITTA GIRLS' SECONDARY SCHOOL,Secondary
S.6542,FULWE SECONDARY SCHOOL,Secondary
S.6547,KOLOLI SECONDARY SCHOOL,Secondary
S.6553,SR. PAULIN BOMMER GIRLS' SECONDARY SCHOOL,Secondary
S.6567,MAGRETHMARY SECONDARY SCHOOL,Secondary
S.6575,RWABWERE SECONDARY SCHOOL,Secondary
S.6577,BUGARA SECONDARY SCHOOL,Secondary
S.6578,KAKANJA SECONDARY SCHOOL,Secondary
S.6580,MTEULE SECONDARY SCHOOL,Secondary
S.6583,BLESSING SECONDARY SCHOOL,Secondary
S.6584,NURTURY SECONDARY SCHOOL,Secondary
S.6586,RUGWA BOYS' SECONDARY SCHOOL,Secondary
S.6592,CATHY HAMMER SECONDARY SCHOOL,Secondary
S.6595,MKAMA SECONDARY SCHOOL,Secondary
S.6596,MTEMI CHILOLOMA SECONDARY SCHOOL,Secondary
S.6597,MAKILAWA SECONDARY SCHOOL,Secondary
S.6598,BANGULO SECONDARY SCHOOL,Secondary
S.6599,MOSSI MATONGO SECONDARY SCHOOL,Secondary
S.6602,KALAMBO GIRLS SECONDARY SCHOOL,Secondary
S.6604,STAR REACHERS GIRLS' AND BOYS' SECONDARY SCHOOL,Secondary
S.6605,VISIONARY SECONDARY SCHOOL,Secondary
S.6606,NELSON MEMORIAL SECONDARY SCHOOL,Secondary
S.6607,QUEEN OF AFRICA SECONDARY SCHOOL,Secondary
S.6612,BEREGA SECONDARY SCHOOL,Secondary
S.6613,BUYOGA SECONDARY SCHOOL,Secondary
S.6617,CHAMLINDIMA SECONDARY SCHOOL,Secondary
S.6620,KASESE SECONDARY SCHOOL,Secondary
S.6622,BUPIGI  SECONDARY SCHOOL,Secondary
S.6625,TEMEKE MASASI SECONDARY SCHOOL,Secondary
S.6626,LUKOBE JUU SECONDARY SCHOOL,Secondary
S.6627,MINDU BWAWANI SECONDARY SCHOOL,Secondary
S.6628,NYAMAKOKOTO SECONDARY SCHOOL,Secondary
S.6631,BRIGHT AFRICAN SECONDARY SCHOOL,Secondary
S.6632,DOVYA SECONDARY SCHOOL,Secondary
S.6633,CHEWE SECONDARY SCHOOL,Secondary
S.6634,SAMILUNGA SECONDARY SCHOOL,Secondary
S.6635,NJIAPANDA SECONDARY SCHOOL,Secondary
S.6636,KISUBIU SECONDARY SCHOOL,Secondary
S.6639,ULEDI SECONDARY SCHOOL,Secondary
S.6640,MANAWA SECONDARY SCHOOL,Secondary
S.6642,KILYABOYA SECONDARY SCHOOL,Secondary
S.6643,MALEZI SECONDARY SCHOOL,Secondary
S.6644,LUALAJE SECONDARY SCHOOL,Secondary
S.6645,KATUULA SECONDARY SCHOOL,Secondary
S.6646,BUSANGWA SECONDARY SCHOOL,Secondary
S.6647,MWAMANIMBA SECONDARY SCHOOL,Secondary
S.6648,KIMOBWA SECONDARY SCHOOL,Secondary
S.6649,MASALINGE SECONDARY SCHOOL,Secondary
S.6650,ISENGWA SECONDARY SCHOOL,Secondary
S.6651,MWASHATA SECONDARY SCHOOL,Secondary
S.6652,DEUS SANGU SECONDARY SCHOOL,Secondary
S.6653,KILANGALA SECONDARY SCHOOL,Secondary
S.6654,ZAINABU TELACK SECONDARY SCHOOL,Secondary
S.6655,KONANNE SECONDARY SCHOOL,Secondary
S.6656,USENYE SECONDARY SCHOOL,Secondary
S.6657,MNYETI SECONDARY SCHOOL,Secondary
S.6658,MPETA  SECONDARY SCHOOL,Secondary
S.6660,OLOMITU SECONDARY SCHOOL,Secondary
S.6661,NEW MANAWA SECONDARY SCHOOL,Secondary
S.6662,KIUTU SECONDARY SCHOOL,Secondary
S.6663,MASHIMBA SECONDARY SCHOOL,Secondary
S.6664,NYONGO SECONDARY SCHOOL,Secondary
S.6667,TURA DAY SECONDARY SCHOOL,Secondary
S.6668,KITANDI SECONDARY SCHOOL,Secondary
S.6669,NHOBORA SECONDARY SCHOOL,Secondary
S.6670,KEIKEI SECONDARY SCHOOL,Secondary
S.6671,MPANYANI SECONDARY SCHOOL,Secondary
S.6672,KAGONGWA SECONDARY SCHOOL,Secondary
S.6673,KAMUGEGI SECONDARY SCHOOL,Secondary
S.6674,JERRY MWAGA SECONDARY SCHOOL,Secondary
S.6675,NYUMBIGWA MPYA SECONDARY SCHOOL,Secondary
S.6676,CHIEF NSORO SECONDARY SCHOOL,Secondary
S.6677,LUNYANYWI SECONDARY SCHOOL,Secondary
S.6678,RUANGWA GIRLS' SECONDARY SCHOOL,Secondary
S.6679,KIGERA MWIYALE SECONDARY SCHOOL,Secondary
S.6680,SAMIA SULUHU HASSAN SECONDARY SCHOOL,Secondary
S.6681,MBWEMKURU SECONDARY SCHOOL,Secondary
S.6682,KWANYAMA SECONDARY SCHOOL,Secondary
S.6683,LITEHU MODERN SECONDARY SCHOOL,Secondary
S.6684,MNDUMBWE SECONDARY SCHOOL,Secondary
S.6685,NGOME SECONDARY SCHOOL,Secondary
S.6686,MIKOMA SECONDARY SCHOOL,Secondary
S.6687,UHAMAKA SECONDARY SCHOOL,Secondary
S.6688,LUDEWA KWANZA SECONDARY SCHOOL,Secondary
S.6689,KAWALYOWA SECONDARY SCHOOL,Secondary
S.6690,LUBONDE SECONDARY SCHOOL,Secondary
S.6691,MATETEREKA SECONDARY SCHOOL,Secondary
S.6692,JOSEPH MHAGAMA SECONDARY SCHOOL,Secondary
S.6693,NYAHUA SECONDARY SCHOOL,Secondary
S.6694,IBONDO SECONDARY SCHOOL,Secondary
S.6695,IMAMU ALI SECONDARY SCHOOL,Secondary
S.6696,AMMAR SECONDARY SCHOOL,Secondary
S.6697,CARMEL GIRLS' SECONDARY SCHOOL,Secondary
S.6698,PRECIOUS SECONDARY SCHOOL,Secondary
S.6699,CAPITAL SECONDARY SCHOOL,Secondary
S.6700,KIZENGA SECONDARY SCHOOL,Secondary
S.6701,GIBISHI SECONDARY SCHOOL,Secondary
S.6702,ILEJE GIRLS' SECONDARY SCHOOL,Secondary
S.6703,BULEMBO SECONDARY SCHOOL,Secondary
S.6704,LIPUMBURU SECONDARY SCHOOL,Secondary
S.6705,SOMANGA SECONDARY SCHOOL,Secondary
S.6706,NGUNICHILE SECONDARY SCHOOL,Secondary
S.6707,MANGIRIKITI SEONDARY SCHOOL,Secondary
S.6708,CHIPONDA SECONDARY SCHOOL,Secondary
S.6710,NAISHERO SECONDARY SCHOOL,Secondary
S.6711,KITEMBEI SECONDARY SCHOOL,Secondary
S.6712,MWAMBAO KIVINJA SECONDARY SCHOOL,Secondary
S.6713,LUBUKA SECONDARY SCHOOL,Secondary
S.6714,MBUTU NZEGA SECONDARY SCHOOL,Secondary
S.6715,MAJALILA SECONDARY SCHOOL,Secondary
S.6716,MALUJA SECONDARY SCHOOL,Secondary
