id,name,region
1,Arusha Cc,Arusha
2,Arusha Dc,Arusha
3,Karatu Dc,Arusha
4,Longido Dc,Arusha
5,Meru Dc,Arusha
6,Monduli Dc,Arusha
7,Ngorongoro Dc,Arusha
8,Bagamoyo Dc,Coast
9,Chalinze Dc,Coast
10,Kibaha Dc,Coast
11,Kibaha Tc,Coast
12,Kibiti Dc,Coast
13,Kisarawe Dc,Coast
14,Mafia Dc,Coast
15,Mkuranga Dc,Coast
16,Rufiji Dc,Coast
17,Ilala Mc,Dar Es Salaam
18,Kigamboni Mc,Dar Es Salaam
19,Kinondoni Mc,Dar Es Salaam
20,Temeke Mc,Dar Es Salaam
21,Ubungo Mc,Dar Es Salaam
22,Bahi Dc,Dodoma
23,Chamwino Dc,Dodoma
24,Chemba Dc,Dodoma
25,Dodoma Cc,Dodoma
26,Kondoa Dc,Dodoma
27,Kondoa Tc,Dodoma
28,Kongwa Dc,Dodoma
29,Mpwapwa Dc,Dodoma
30,Bukombe Dc,Geita
31,Chato Dc,Geita
32,Geita Dc,Geita
33,Geita Tc,Geita
34,Mbogwe Dc,Geita
35,Nyanghwale Dc,Geita
36,Iringa Dc,Iringa
37,Iringa Mc,Iringa
38,Kilolo Dc,Iringa
39,Mafinga Tc,Iringa
40,Mufindi Dc,Iringa
41,Biharamulo Dc,Kagera
42,Bukoba Dc,Kagera
43,Bukoba Mc,Kagera
44,Karagwe Dc,Kagera
45,Kyerwa Dc,Kagera
46,Missenyi Dc,Kagera
47,Muleba Dc,Kagera
48,Ngara Dc,Kagera
49,Mlele Dc,Katavi
50,Mpanda Dc,Katavi
51,Mpanda Mc,Katavi
52,Mpimbwe Dc,Katavi
53,Nsimbo Dc,Katavi
54,Buhigwe Dc,Kigoma
55,Kakonko Dc,Kigoma
56,Kasulu Dc,Kigoma
57,Kasulu Tc,Kigoma
58,Kibondo Dc,Kigoma
59,Kigoma Dc,Kigoma
60,Kigoma Mc,Kigoma
61,Uvinza Dc,Kigoma
62,Hai Dc,Kilimanjaro
63,Moshi Dc,Kilimanjaro
64,Moshi Mc,Kilimanjaro
65,Mwanga Dc,Kilimanjaro
66,Rombo Dc,Kilimanjaro
67,Same Dc,Kilimanjaro
68,Siha Dc,Kilimanjaro
69,Kilwa Dc,Lindi
70,Lindi Dc,Lindi
71,Lindi Mc,Lindi
72,Liwale Dc,Lindi
73,Nachingwea Dc,Lindi
74,Ruangwa Dc,Lindi
75,Babati Dc,Manyara
76,Babati Tc,Manyara
77,Hanang Dc,Manyara
78,Kiteto Dc,Manyara
79,Mbulu Dc,Manyara
80,Mbulu Tc,Manyara
81,Simanjiro Dc,Manyara
82,Bunda Dc,Mara
83,Bunda Tc,Mara
84,Butiama Dc,Mara
85,Musoma Dc,Mara
86,Musoma Mc,Mara
87,Rorya Dc,Mara
88,Serengeti,Mara
89,Tarime Dc,Mara
90,Tarime Tc,Mara
91,Busokelo,Mbeya
92,Chunya Dc,Mbeya
93,Kyela Dc,Mbeya
94,Mbarali Dc,Mbeya
95,Mbeya Cc,Mbeya
96,Mbeya Dc,Mbeya
97,Rungwe Dc,Mbeya
98,Gairo Dc,Morogoro
99,Ifakara Tc,Morogoro
100,Kilombero Dc,Morogoro
101,Kilosa Dc,Morogoro
102,Malinyi Dc,Morogoro
103,Morogoro Dc,Morogoro
104,Morogoro Mc,Morogoro
105,Mvomero Dc,Morogoro
106,Ulanga Dc,Morogoro
107,Masasi Dc,Mtwara
108,Masasi Tc,Mtwara
109,Mtwara Dc,Mtwara
110,Mtwara Mc,Mtwara
111,Nanyamba Tc,Mtwara
112,Nanyumbu Dc,Mtwara
113,Newala Dc,Mtwara
114,Newala Tc,Mtwara
115,Tandahimba Dc,Mtwara
116,Buchosa Dc,Mwanza
117,Ilemela Mc,Mwanza
118,Kwimba Dc,Mwanza
119,Magu Dc,Mwanza
120,Misungwi Dc,Mwanza
121,Mwanza Cc,Mwanza
122,Sengerema Dc,Mwanza
123,Ukerewe Dc,Mwanza
124,Ludewa Dc,Njombe
125,Makambako Tc,Njombe
126,Makete Dc,Njombe
127,Njombe Dc,Njombe
128,Njombe Tc,Njombe
129,Wangingombe Dc,Njombe
130,Kalambo Dc,Rukwa
131,Nkasi Dc,Rukwa
132,Sumbawanga Dc,Rukwa
133,Sumbawanga Mc,Rukwa
134,Madaba Dc,Ruvuma
135,Mbinga Dc,Ruvuma
136,Mbinga Tc,Ruvuma
137,Namtumbo Dc,Ruvuma
138,Nyasa Dc,Ruvuma
139,Songea Dc,Ruvuma
140,Songea Mc,Ruvuma
141,Tunduru Dc,Ruvuma
142,Kahama Tc,Shinyanga
143,Kishapu Dc,Shinyanga
144,Msalala Dc,Shinyanga
145,Shinyanga Dc,Shinyanga
146,Shinyanga Mc,Shinyanga
147,Ushetu Dc,Shinyanga
148,Bariadi Dc,Simiyu
149,Bariadi Tc,Simiyu
150,Busega Dc,Simiyu
151,Itilima Dc,Simiyu
152,Maswa Dc,Simiyu
153,Meatu Dc,Simiyu
154,Ikungi Dc,Singida
155,Iramba Dc,Singida
156,Itigi Dc,Singida
157,Manyoni Dc,Singida
158,Mkalama Dc,Singida
159,Singida Dc,Singida
160,Singida Mc,Singida
161,Ileje Dc,Songwe
162,Mbozi Dc,Songwe
163,Momba Dc,Songwe
164,Songwe Dc,Songwe
165,Tunduma Tc,Songwe
166,Igunga Dc,Tabora
167,Kaliua Dc,Tabora
168,Nzega Dc,Tabora
169,Nzega Tc,Tabora
170,Sikonge Dc,Tabora
171,Tabora Dc,Tabora
172,Tabora Mc,Tabora
173,Urambo Dc,Tabora
174,Bumbuli Dc,Tanga
175,Handeni Dc,Tanga
176,Handeni Tc,Tanga
177,Kilindi Dc,Tanga
178,Korogwe Dc,Tanga
179,Korogwe Tc,Tanga
180,Lushoto Dc,Tanga
181,Mkinga Dc,Tanga
182,Muheza Dc,Tanga
183,Pangani Dc,Tanga
184,Tanga Cc,Tanga
185,Arusha,Arusha
186,Serengeti Dc,Mara
187,Busokelo Dc,Mbeya
188,Maswa,Simiyu
