school_name,school_code,region,district,level,ownership
Arusha Day,,Arusha,Arusha Cc,Secondary,
Arusha Girls,,Arusha,Arusha Cc,Secondary,
Arusha Sec,,Arusha,Arusha Cc,Secondary,
Arusha Terrat,,Arusha,Arusha Cc,Secondary,
Baraa,,Arusha,Arusha Cc,Secondary,
Elerai,,Arusha,Arusha Cc,Secondary,
Felix Mrema,,Arusha,Arusha Cc,Secondary,
Kalimaji,,Arusha,Arusha Cc,Secondary,
Kaloleni,,Arusha,Arusha Cc,Secondary,
Kimaseki,,Arusha,Arusha Cc,Secondary,
Kinana,,Arusha,Arusha Cc,Secondary,
Korona,,Arusha,Arusha Cc,Secondary,
Lemara,,Arusha,Arusha Cc,Secondary,
Losirway,,Arusha,Arusha Cc,Secondary,
Mkonoo,,Arusha,Arusha Cc,Secondary,
Moivaro,,Arusha,Arusha Cc,Secondary,
Moshono,,Arusha,Arusha Cc,Secondary,
Mrisho Gambo,,Arusha,Arusha Cc,Secondary,
Muriet,,Arusha,Arusha Cc,Secondary,
Naura,,Arusha,Arusha Cc,Secondary,
Ngarenaro,,Arusha,Arusha Cc,Secondary,
Njiro,,Arusha,Arusha Cc,Secondary,
Olasiti,,Arusha,Arusha Cc,Secondary,
Olmoti,,Arusha,Arusha Cc,Secondary,
Oloirien,,Arusha,Arusha Cc,Secondary,
Olturoto,,Arusha,Arusha Cc,Secondary,
Sinon,,Arusha,Arusha Cc,Secondary,
Sombetini,,Arusha,Arusha Cc,Secondary,
Sorenyi,,Arusha,Arusha Cc,Secondary,
Suye,,Arusha,Arusha Cc,Secondary,
Themi,,Arusha,Arusha Cc,Secondary,
Unga Ltd,,Arusha,Arusha Cc,Secondary,
Bangata,,Arusha,Arusha Dc,Secondary,
Einoti,,Arusha,Arusha Dc,Secondary,
Endeves,,Arusha,Arusha Dc,Secondary,
Enyoito,,Arusha,Arusha Dc,Secondary,
Ilboru,,Arusha,Arusha Dc,Secondary,
Ilkidinga,,Arusha,Arusha Dc,Secondary,
Kimnyaki,,Arusha,Arusha Dc,Secondary,
Kiranyi,,Arusha,Arusha Dc,Secondary,
Kiseriani,,Arusha,Arusha Dc,Secondary,
Lengijave,,Arusha,Arusha Dc,Secondary,
Likamba,,Arusha,Arusha Dc,Secondary,
Losikito,,Arusha,Arusha Dc,Secondary,
Losinoni,,Arusha,Arusha Dc,Secondary,
Mateves,,Arusha,Arusha Dc,Secondary,
Mlangarini,,Arusha,Arusha Dc,Secondary,
Mringa,,Arusha,Arusha Dc,Secondary,
Mukulat,,Arusha,Arusha Dc,Secondary,
Musa,,Arusha,Arusha Dc,Secondary,
Mwandet,,Arusha,Arusha Dc,Secondary,
Nduruma,,Arusha,Arusha Dc,Secondary,
Ngiresi,,Arusha,Arusha Dc,Secondary,
Oldadai,,Arusha,Arusha Dc,Secondary,
Oldonyosambu,,Arusha,Arusha Dc,Secondary,
Oldonyowasi,,Arusha,Arusha Dc,Secondary,
Olemedeye,,Arusha,Arusha Dc,Secondary,
Oljoro,,Arusha,Arusha Dc,Secondary,
Olmotonyi Forest,,Arusha,Arusha Dc,Secondary,
Olokii,,Arusha,Arusha Dc,Secondary,
Oltrumet,,Arusha,Arusha Dc,Secondary,
Osiligi,,Arusha,Arusha Dc,Secondary,
Sambasha,,Arusha,Arusha Dc,Secondary,
Sokoni Ii,,Arusha,Arusha Dc,Secondary,
Awet,,Arusha,Karatu Dc,Secondary,
Banjika,,Arusha,Karatu Dc,Secondary,
Baray,,Arusha,Karatu Dc,Secondary,
Baray Khusjunei,,Arusha,Karatu Dc,Secondary,
Chaenda,,Arusha,Karatu Dc,Secondary,
Diego,,Arusha,Karatu Dc,Secondary,
Domel,,Arusha,Karatu Dc,Secondary,
Dr Wilbroad Slaa,,Arusha,Karatu Dc,Secondary,
Edith Grora,,Arusha,Karatu Dc,Secondary,
Endabash,,Arusha,Karatu Dc,Secondary,
Endallah,,Arusha,Karatu Dc,Secondary,
Florian,,Arusha,Karatu Dc,Secondary,
Ganako,,Arusha,Karatu Dc,Secondary,
Getamock,,Arusha,Karatu Dc,Secondary,
Gyekrum Arusha,,Arusha,Karatu Dc,Secondary,
Gyekrum Lambo,,Arusha,Karatu Dc,Secondary,
Kainam Rhotia,,Arusha,Karatu Dc,Secondary,
Kansay,,Arusha,Karatu Dc,Secondary,
Karatu,,Arusha,Karatu Dc,Secondary,
Kilimamoja,,Arusha,Karatu Dc,Secondary,
Kilimatembo,,Arusha,Karatu Dc,Secondary,
Mangola,,Arusha,Karatu Dc,Secondary,
Marang,,Arusha,Karatu Dc,Secondary,
Mlimani Sumawe,,Arusha,Karatu Dc,Secondary,
Oldeani,,Arusha,Karatu Dc,Secondary,
Orboshan,,Arusha,Karatu Dc,Secondary,
Qangdend,,Arusha,Karatu Dc,Secondary,
Qaru,,Arusha,Karatu Dc,Secondary,
Qurus,,Arusha,Karatu Dc,Secondary,
Slahhamo,,Arusha,Karatu Dc,Secondary,
Upper Kitete,,Arusha,Karatu Dc,Secondary,
Welwel,,Arusha,Karatu Dc,Secondary,
Enduimet,,Arusha,Longido Dc,Secondary,
Engarenaibor,,Arusha,Longido Dc,Secondary,
Ketumbeine,,Arusha,Longido Dc,Secondary,
Lekule,,Arusha,Longido Dc,Secondary,
Longido,,Arusha,Longido Dc,Secondary,
Matale,,Arusha,Longido Dc,Secondary,
Namanga,,Arusha,Longido Dc,Secondary,
Natron,,Arusha,Longido Dc,Secondary,
Tingatinga,,Arusha,Longido Dc,Secondary,
Akeri,,Arusha,Meru Dc,Secondary,
Amsha,,Arusha,Meru Dc,Secondary,
Imbaseni,,Arusha,Meru Dc,Secondary,
Kikwe,,Arusha,Meru Dc,Secondary,
Kingori,,Arusha,Meru Dc,Secondary,
Kisimiri,,Arusha,Meru Dc,Secondary,
Kitefu,,Arusha,Meru Dc,Secondary,
Kiwawa,,Arusha,Meru Dc,Secondary,
Lakitatu,,Arusha,Meru Dc,Secondary,
Majengo Kati,,Arusha,Meru Dc,Secondary,
Maji Ya Chai,,Arusha,Meru Dc,Secondary,
Makiba,,Arusha,Meru Dc,Secondary,
Malula,,Arusha,Meru Dc,Secondary,
Maroroni,,Arusha,Meru Dc,Secondary,
Maruvango,,Arusha,Meru Dc,Secondary,
Mbuguni,,Arusha,Meru Dc,Secondary,
Meru,,Arusha,Meru Dc,Secondary,
Miririni,,Arusha,Meru Dc,Secondary,
Momela,,Arusha,Meru Dc,Secondary,
Mulala,,Arusha,Meru Dc,Secondary,
Muungano Usariver,,Arusha,Meru Dc,Secondary,
Nasholi,,Arusha,Meru Dc,Secondary,
Ngongongare,,Arusha,Meru Dc,Secondary,
Ngorika,,Arusha,Meru Dc,Secondary,
Ngurudoto,,Arusha,Meru Dc,Secondary,
Ngyeku,,Arusha,Meru Dc,Secondary,
Nkoanekoli,,Arusha,Meru Dc,Secondary,
Nkoanrua,,Arusha,Meru Dc,Secondary,
Nkoarisambu,,Arusha,Meru Dc,Secondary,
Nkoasenga,,Arusha,Meru Dc,Secondary,
Nshupu,,Arusha,Meru Dc,Secondary,
Pamoja,,Arusha,Meru Dc,Secondary,
Patandi Maalum,,Arusha,Meru Dc,Secondary,
Poli,,Arusha,Meru Dc,Secondary,
Sakila,,Arusha,Meru Dc,Secondary,
Samaria Bondeni,,Arusha,Meru Dc,Secondary,
Seela,,Arusha,Meru Dc,Secondary,
Shambarai Burka,,Arusha,Meru Dc,Secondary,
Shishton,,Arusha,Meru Dc,Secondary,
Singisi,,Arusha,Meru Dc,Secondary,
Songoro,,Arusha,Meru Dc,Secondary,
Umoja Kingori,,Arusha,Meru Dc,Secondary,
Uraki,,Arusha,Meru Dc,Secondary,
Uwiro,,Arusha,Meru Dc,Secondary,
Engutoto,,Arusha,Monduli Dc,Secondary,
Irkisale,,Arusha,Monduli Dc,Secondary,
Irkisongo,,Arusha,Monduli Dc,Secondary,
Kipok,,Arusha,Monduli Dc,Secondary,
Lowassa,,Arusha,Monduli Dc,Secondary,
Manyara,,Arusha,Monduli Dc,Secondary,
Moita,,Arusha,Monduli Dc,Secondary,
Nanja,,Arusha,Monduli Dc,Secondary,
Oldonyolengai,,Arusha,Monduli Dc,Secondary,
Olesokoine,,Arusha,Monduli Dc,Secondary,
Oltinga,,Arusha,Monduli Dc,Secondary,
