region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mbeya,Mbarali Dc,125624-7,JILALA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Simiyu,Itilima Dc,125622-1,DIZAYA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125621-3,COMMUNITY HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,125618-9,RK MUWEZA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Iringa,Iringa Dc,125617-1,EMATU,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Kagera,Kyerwa Dc,125616-3,UPENDO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,125614-8,VJ,Optometry Clinic,Kliniki,Private,For Profit,Operating
Coast,Bagamoyo Dc,125613-0,UNICARE,Medical Clinic,Kliniki,Private,For Profit,Operating
Arusha,Arusha Cc,125611-4,SMYLISHA,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Kilimanjaro,Moshi Dc,125609-8,KIUSA,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125608-0,RENA,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125607-2,4E,Optometry Clinic,Kliniki,Private,For Profit,Operating
Singida,Singida Dc,125606-4,OPTIHOPE,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125605-6,EYE WELLNESS,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125604-9,AIZAR OPTOMETERY,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125603-1,SAN PEDRO,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125602-3,DR. AGARWALS,Optometry Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dar Es Salaam,Temeke Mc,125595-9,SHILOBEST,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125594-2,CATALYST CHILD DEVELOPMENT,Physiotherapy Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kigamboni Mc,125593-4,RCM,Medical Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Buchosa Dc,125591-8,NYAKASUNGWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Ilala Mc,125590-0,AURREVIA,Basic Dental Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dar Es Salaam,Kigamboni Mc,125589-2,SMILUNA,Comprehensive Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125588-4,FAMILY HEALTH CARE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125587-6,EVERWELL,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125586-8,BJN,PolyClinic,Kliniki,Private,For Profit,Operating
Shinyanga,Msalala Dc,125585-0,MZALENDO,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,125584-3,GOSHEN SERVICES,Nursing Home,Kituo cha Uzazi,Private,Company/Business Name,Operating
