region,district,facilities,hospitals,health_centers,dispensaries
(bila mkoa),(bila wilaya),1,0,1,0
Arusha,Arusha Cc,328,11,29,212
Arusha,Karatu Dc,76,3,10,60
Arusha,Longido Dc,41,1,7,32
Arusha,Meru Dc,95,2,11,76
Arusha,Monduli Dc,66,2,6,56
Arusha,Ngorongoro Dc,49,3,8,37
Coast,Bagamoyo Dc,63,2,8,44
Coast,Chalinze Dc,108,1,10,95
Coast,Kibaha Dc,157,5,17,122
Coast,Kibiti Dc,80,2,5,72
Coast,Kisarawe Dc,58,1,5,50
Coast,Mafia Dc,32,1,2,28
Coast,Mkuranga Dc,123,1,13,102
Coast,Rufiji Dc,40,1,4,34
Dar Es Salaam,Ilala Mc,537,20,27,305
Dar Es Salaam,Kigamboni Mc,96,5,7,61
Dar Es Salaam,Kinondoni Mc,438,31,18,178
Dar Es Salaam,Temeke Mc,265,9,23,172
Dar Es Salaam,Ubungo Mc,308,11,15,185
Dodoma,Bahi Dc,60,1,7,51
Dodoma,Chamwino Dc,101,3,10,86
Dodoma,Chemba Dc,60,1,6,52
Dodoma,Dodoma Cc,263,10,15,180
Dodoma,Kondoa Dc,80,2,12,64
Dodoma,Kongwa Dc,79,1,9,68
Dodoma,Mpwapwa Dc,90,1,11,77
Geita,Bukombe Dc,96,4,11,78
Geita,Chato Dc,80,2,14,60
Geita,Geita Dc,211,7,21,162
Geita,Mbogwe Dc,44,2,9,32
Iringa,Iringa Dc,182,5,20,132
Iringa,Kilolo Dc,83,2,6,72
Iringa,Mafinga Tc,35,1,11,19
Iringa,Mufindi Dc,105,2,13,89
Kagera,Biharamulo Dc,43,2,7,33
Kagera,Bukoba Dc,108,5,13,75
Kagera,Karagwe Dc,65,3,6,53
Kagera,Kyerwa Dc,46,3,6,36
Kagera,Missenyi Dc,55,3,6,45
Kagera,Muleba Dc,73,4,7,58
Kagera,Ngara Dc,77,4,7,63
Katavi,Mlele Dc,78,2,8,66
Katavi,Mpanda Dc,54,2,7,43
Katavi,Mpimbwe Dc,32,1,6,23
Katavi,Nsimbo Dc,31,1,5,24
Kigoma,Buhigwe Dc,101,4,12,78
Kigoma,Kakonko Dc,40,1,6,32
Kigoma,Kasulu Dc,93,4,14,69
Kigoma,Kibondo Dc,56,1,10,44
Kigoma,Kigoma Dc,61,1,7,51
Kigoma,Uvinza Dc,59,1,5,52
Kilimanjaro,Hai Dc,77,2,11,60
Kilimanjaro,Moshi Dc,229,13,25,143
Kilimanjaro,Mwanga Dc,72,3,8,58
Kilimanjaro,Rombo Dc,61,3,8,49
Kilimanjaro,Same Dc,87,3,11,71
Kilimanjaro,Siha Dc,35,3,8,23
Lindi,Kilwa Dc,144,4,11,126
Lindi,Lindi Dc,63,2,7,51
Lindi,Liwale Dc,48,1,6,40
Lindi,Nachingwea Dc,61,3,4,52
Lindi,Ruangwa Dc,59,1,11,46
Manyara,Babati Dc,117,6,15,86
Manyara,Hanang Dc,51,1,11,38
Manyara,Kiteto Dc,58,1,5,51
Manyara,Mbulu Dc,73,3,8,57
Manyara,Simanjiro Dc,69,2,10,56
Mara,Bunda Dc,85,6,9,66
