region,facilities,hospitals,health_centers,dispensaries
(bila mkoa),1,0,1,0
Arusha,655,22,71,473
Coast,661,14,64,547
Dar Es Salaam,1644,76,90,901
Dodoma,733,19,70,578
Geita,431,15,55,332
Iringa,405,10,50,312
Kagera,467,24,52,363
Katavi,195,6,26,156
Kigoma,410,12,54,326
Kilimanjaro,561,27,71,404
Lindi,375,11,39,315
Manyara,368,13,49,288
Mara,529,20,58,420
Mbeya,622,20,57,471
Morogoro,825,24,83,649
Mtwara,415,13,50,329
Mwanza,828,30,80,602
Njombe,432,16,53,342
Rukwa,294,7,40,238
Ruvuma,529,18,60,421
Shinyanga,452,10,47,359
Simiyu,332,9,31,281
Singida,412,14,39,333
Songwe,336,11,37,276
Tabora,590,16,54,485
Tanga,702,21,61,567
